anime_id,name,genre
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural"
25835,Shirobako,"Comedy, Drama"
2921,Ashita no Joe 2,"Drama, Sports"
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power"
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural"
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School"
523,Tonari no Totoro,"Adventure, Comedy, Supernatural"
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen"
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy"
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural"
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life"
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen"
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life"
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports"
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life"
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance"
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural"
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller"
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural"
5420,Kemono no Souja Erin,"Drama, Fantasy"
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire"
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi"
4224,Toradora!,"Comedy, Romance, School, Slice of Life"
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi"
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen"
31181,Owarimonogatari,"Comedy, Mystery, Supernatural"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai"
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai"
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen"
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural"
627,Major S1,"Comedy, Drama, Shounen, Sports"
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space"
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural"
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller"
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power"
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power"
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural"
558,Major S2,"Comedy, Drama, Shounen, Sports"
5040,One Outs,"Psychological, Seinen, Sports"
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life"
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural"
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space"
1842,Major S3,"Drama, Shounen, Sports"
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space"
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance"
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo"
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life"
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural"
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire"
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural"
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports"
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo"
5460,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen"
6746,Durarara!!,"Action, Mystery, Supernatural"
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance"
329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space"
34240,Shelter,"Music, Sci-Fi"
513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi"
6945,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi"
1142,Hachimitsu to Clover II,"Drama, Josei, Romance"
6811,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural"
16664,Kaguya-hime no Monogatari,"Fantasy, Historical"
1604,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power"
22145,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural"
2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance"
31964,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power"
19363,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life"
18195,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural"
9890,Major: Message,"Comedy, Drama, Sports"
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural"
9863,SKET Dance,"Comedy, School, Shounen"
7674,Bakuman.,"Comedy, Romance, Shounen"
11843,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life"
16782,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life"
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural"
3226,Major S4,"Comedy, Drama, Shounen, Sports"
21557,Omoide no Marnie,"Drama, Mystery, Psychological"
31715,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life"
43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen"
9617,K-On! Movie,"Comedy, Music, Slice of Life"
31051,Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports"
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power"
1033,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance"
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller"
3091,xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural"
12115,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural"
28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller"
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller"
138,Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power"
6675,Redline,"Action, Cars, Sci-Fi, Sports"
10800,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports"
32005,Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen"
813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural"
28725,Kokoro ga Sakebitagatterunda.,"Drama, Romance, School"
